350
16 70
7 13 244102
8 9 275722
1 12 131360
5 16 189183
5 11 140365
10 7 360815
9 16 234704
2 12 150071
8 3 158280
11 4 165797
5 2 92314
15 11 146862
11 6 23330
3 9 117442
5 12 242385
13 1 232225
12 8 292893
14 16 502001
10 2 334393
11 9 84849
6 5 163695
7 1 140065
7 14 446974
13 4 276106
16 15 296717
7 11 94828
6 15 123532
7 2 142879
3 4 198390
6 13 133639
14 3 384739
13 14 462455
14 9 267297
2 14 400197
1 16 195092
9 4 80948
13 16 299129
16 2 197906
8 5 235136
1 2 169967
16 12 251875
12 3 134613
4 15 108619
13 2 132139
8 1 307222
12 14 250126
11 1 121916
3 7 127421
15 7 241690
4 6 142467
10 3 318935
10 8 193658
5 13 224453
10 9 201493
2 9 132900
14 6 328816
7 16 55027
5 9 225214
12 13 212329
15 12 44842
15 8 337735
7 8 167157
8 6 214203
10 13 396651
2 6 71381
2 15 194913
15 14 205284
2 3 15458
15 9 62013
5 4 306162
16 80
13 3 125564
12 11 265331
3 2 142191
3 15 194699
3 5 115231
14 13 29009
4 15 203620
14 7 122412
14 3 128389
8 14 156306
1 5 85587
9 10 38246
3 16 77445
14 2 153983
15 12 211234
9 4 177739
1 2 171835
8 3 222779
13 16 86412
1 9 166868
13 9 190831
13 1 95920
13 8 185315
6 16 176321
14 1 98753
6 7 92899
15 1 165055
9 11 320279
2 6 169705
7 12 22512
1 11 219152
4 11 297730
5 2 186060
6 12 115411
10 2 203920
16 7 109547
10 11 283712
15 14 187703
11 15 307919
6 11 222643
4 1 82828
2 11 234037
10 7 112748
2 7 174293
4 6 107797
4 16 73320
10 5 77424
9 14 189516
4 14 15917
1 8 193135
4 3 112472
5 13 104534
6 14 91880
9 12 173506
15 6 95823
4 10 168866
15 2 73882
3 7 53311
13 12 142099
4 12 129007
11 14 281813
13 4 13092
9 16 104419
9 6 97636
13 7 119587
6 1 69232
5 12 131766
4 8 172223
9 5 113991
12 8 146956
2 9 169165
16 12 132059
13 6 120889
7 9 150994
5 11 206288
5 7 109254
16 8 245543
6 10 61069
10 15 130038
14 5 75525
50 1000
19 50 86651
46 2 107943
46 20 57188
22 16 117076
26 16 136500
50 13 58235
15 38 35041
24 30 70496
47 7 55456
21 24 45809
43 4 61472
48 43 107774
23 29 87455
7 32 68253
3 50 106030
50 46 88247
36 30 66379
16 33 156633
40 39 85230
5 23 76306
30 35 138801
47 31 40001
44 30 64876
49 10 94851
50 21 121878
3 18 86979
35 18 158702
32 34 104846
45 10 94783
5 36 99413
6 49 101729
41 36 70892
30 47 131188
48 2 194233
27 8 145169
2 8 123630
16 31 129164
42 25 66408
5 50 140041
33 39 134279
10 8 131259
39 20 22868
46 34 53862
18 7 111436
7 25 83857
22 4 69941
42 15 88045
37 47 109111
6 31 93108
26 46 105011
36 23 104737
9 26 111398
2 32 92983
48 32 154322
33 44 130384
36 6 71729
39 15 100666
34 47 107880
37 34 75962
41 30 134666
26 18 75133
40 5 86163
30 14 170351
8 47 145677
19 37 66929
37 38 78783
26 28 115082
10 40 13078
1 15 94647
26 39 115021
2 36 34074
49 17 85530
47 35 69074
34 5 103342
38 30 121327
46 40 94115
40 45 81705
2 12 103075
17 22 82601
43 32 57718
1 49 104651
16 1 79194
10 37 50085
34 33 113898
31 22 92441
36 45 104325
26 34 93765
48 35 231193
7 17 36013
26 38 110224
15 22 87817
16 5 78043
32 20 59952
16 2 119889
12 26 74215
43 22 8469
37 15 43742
37 8 95142
19 23 61111
19 49 72432
34 39 91674
32 11 78678
17 25 97840
35 21 139290
50 16 94385
44 3 27664
13 23 85337
46 42 109687
34 30 102327
15 41 82192
6 28 63005
25 36 93201
29 30 23453
22 23 101544
4 31 65762
24 15 64051
26 5 129003
43 16 108607
29 50 131650
1 43 66322
37 1 138389
7 33 61474
13 2 84622
3 6 90488
21 15 38891
20 43 63922
45 21 85341
30 23 64002
49 34 23757
43 41 143626
1 33 122392
47 33 67470
41 8 133592
18 50 97419
13 6 85440
45 4 72734
27 12 130534
1 6 97166
43 18 93780
25 2 87737
20 4 63706
13 43 54596
12 40 56179
4 15 79257
28 29 89067
47 11 45031
26 8 140241
13 28 79894
44 6 86441
36 22 101534
49 3 79020
1 17 127807
44 7 68910
43 30 73590
45 27 119939
3 23 107341
32 14 151819
18 13 39184
13 42 63293
27 43 108677
27 47 169429
23 20 85192
37 49 58734
35 11 52653
5 25 96078
31 3 104548
36 46 95839
31 33 27469
4 8 103681
14 21 127065
48 3 98960
4 33 93231
48 9 146571
38 29 97874
6 42 133797
12 21 2133
34 8 83620
39 32 40576
20 9 53500
26 6 103726
48 21 144105
23 45 104337
4 46 54738
5 1 124850
29 44 41423
28 17 103412
20 7 95463
40 9 91950
17 27 170836
28 2 69861
40 30 96708
30 21 47395
48 7 169503
50 43 81513
8 29 114261
17 38 118554
47 20 111306
20 40 95049
41 46 136892
33 24 98215
27 6 139521
25 46 66569
6 34 77972
49 15 55977
43 29 50137
42 7 81585
22 30 82059
15 26 88841
49 5 79585
19 16 150654
12 1 131405
24 47 92197
4 36 41101
39 18 138326
23 27 139418
41 40 101221
8 46 74825
11 16 105584
12 8 88158
28 47 39135
31 17 70018
11 6 72810
14 41 168619
9 19 110616
25 12 69942
36 11 19769
34 17 109287
38 33 120713
43 45 11262
30 25 44230
46 11 96920
1 14 211729
9 30 100199
9 11 93232
7 9 82807
30 16 152194
46 22 15203
17 20 98709
24 25 26266
27 28 148911
10 36 36087
1 21 133538
24 40 97264
17 42 117598
24 14 99855
7 27 134823
9 39 34124
3 30 92540
47 40 60617
11 31 23580
6 22 39313
48 18 149326
47 10 73695
15 47 94277
41 35 75166
30 49 78594
16 39 64061
18 8 115336
13 41 106944
18 46 100514
42 41 122283
2 19 95417
39 49 93567
34 2 77154
13 15 24752
49 26 70008
42 10 126919
4 26 73098
3 43 102408
27 19 116956
37 25 76926
1 23 84017
41 2 36818
6 46 24110
17 29 69595
32 16 104637
9 4 51050
9 14 145367
21 13 63643
44 22 100029
47 39 88438
4 1 123551
10 2 70161
35 36 72422
9 10 93772
28 34 87362
41 32 129801
40 17 3660
18 36 120780
1 46 73056
32 13 112314
35 37 144141
14 5 125225
2 38 83969
5 11 98087
27 36 144167
50 4 138742
43 6 30844
37 45 90192
45 50 75837
40 49 89190
26 19 112028
3 32 117362
11 43 103654
7 31 34005
20 10 108127
8 44 72810
15 3 23043
28 37 69976
33 46 135113
5 41 98794
47 23 138235
25 11 73432
9 23 124412
11 28 84166
37 26 76933
19 30 85569
38 18 98977
43 14 151431
14 34 131686
11 13 70317
2 26 45221
11 17 46438
16 29 128741
38 31 93244
35 34 115502
22 38 118640
6 21 73226
47 26 75947
11 38 92966
19 14 140269
6 30 104434
27 20 169548
10 15 79859
34 44 53630
42 9 125801
16 8 150816
30 10 92629
23 31 116784
17 21 54652
45 12 87474
48 34 117610
22 40 78912
8 19 28213
41 31 46097
48 16 177807
45 38 121433
40 2 64403
25 6 90679
41 38 47151
47 43 132984
46 29 56871
20 21 106304
35 33 75092
44 36 78254
5 30 132118
29 41 111213
6 14 124945
22 26 106746
38 21 73932
33 29 113744
44 5 108094
37 32 104951
23 46 86341
1 8 99673
24 10 86777
42 49 32068
41 6 112782
31 36 43349
19 20 101404
47 50 150115
15 16 142659
39 25 104381
41 10 106979
34 16 155735
25 38 99567
45 48 96512
15 35 110578
7 49 49517
13 34 7468
13 39 99142
20 37 111155
14 13 139154
38 35 122317
7 11 10425
31 20 126186
24 16 149554
49 43 70885
31 37 115068
24 12 43676
13 27 69017
20 49 88471
8 5 82077
32 44 113315
31 45 95234
41 45 133927
25 8 69552
36 20 104807
8 30 113782
1 48 157158
19 48 145190
30 7 75723
41 17 97561
45 35 142857
50 42 121528
44 39 96947
42 38 123086
5 17 89823
26 44 89563
25 21 72075
28 41 106679
8 17 134913
36 7 9344
11 22 112123
43 7 93229
14 11 146106
45 26 109539
26 33 81965
2 15 72230
26 1 99816
49 24 8074
23 43 93075
46 10 107193
6 7 62385
46 14 149055
42 23 86180
27 22 117146
40 43 87381
31 1 94923
26 7 41341
39 38 65625
33 36 70818
13 47 115348
45 13 65858
15 34 32220
29 7 52270
4 5 58312
32 47 123709
10 38 114900
49 22 79354
14 31 141076
39 46 37812
47 36 64800
44 38 56451
10 12 43101
28 5 63285
44 25 85290
41 7 61548
49 29 77825
2 47 30726
20 25 104964
24 3 86688
29 35 115348
1 30 139912
47 9 122562
21 11 86637
17 33 97487
1 25 103789
16 45 119869
41 11 51123
34 42 55825
36 40 30329
3 8 74443
29 36 42926
22 20 72391
47 3 114443
42 3 111088
21 29 23942
19 28 78329
45 44 102822
12 22 84681
2 27 138703
42 24 40142
22 29 58606
49 11 39092
43 8 68091
30 15 86286
29 6 80981
11 44 79335
3 2 95273
25 26 73517
23 11 93204
46 32 50984
37 13 68494
8 11 109325
16 37 155840
29 14 151007
37 17 59503
28 4 93633
20 33 153655
28 48 138361
43 26 98286
47 49 84123
42 39 125635
26 11 30916
10 13 104611
30 12 49528
8 40 138573
50 49 89460
17 50 142998
14 28 61940
46 7 86495
39 10 98308
14 2 131801
16 44 161008
28 23 139440
42 14 139997
24 23 46038
42 21 85951
18 29 123273
17 16 112484
31 12 112350
36 9 92151
48 39 113746
40 15 87173
7 10 45431
24 5 71511
16 12 148856
35 42 123813
43 17 91041
32 23 130864
22 39 53015
27 26 155314
35 19 133765
37 11 91488
1 18 112610
18 9 145046
25 48 175707
44 48 126624
50 39 126059
24 38 99092
12 33 139819
44 9 66019
33 21 137686
35 17 99091
18 20 157702
33 37 142537
35 20 136823
29 13 87585
14 45 162693
4 24 89348
20 34 111050
29 4 84027
36 48 178847
23 44 105062
42 32 149838
45 9 50059
49 23 54112
1 13 73426
48 12 141972
41 21 121083
23 7 103629
20 14 134111
8 21 90291
6 23 103990
3 41 105235
24 27 93380
42 12 83818
47 17 64277
14 50 197389
18 4 143193
19 41 105379
29 40 73255
31 29 86275
28 22 102318
16 13 152620
27 40 174496
32 30 131308
35 31 47623
1 20 130244
14 17 165352
7 2 24730
50 37 126729
30 28 112520
39 29 94683
7 45 104491
29 34 95053
32 6 26874
19 12 59945
12 23 89714
33 18 157098
41 4 93306
34 22 55597
15 50 82987
3 45 113653
27 29 156602
1 7 91794
29 3 69087
42 1 136719
3 22 110860
44 37 22332
35 26 83569
8 32 46179
17 30 93048
48 29 157917
37 36 71719
23 21 91847
13 17 108265
49 2 53403
50 30 132828
6 24 99195
24 1 112725
41 50 147698
45 24 90221
25 34 58097
5 18 149994
10 25 88422
25 28 119668
14 47 101075
8 6 73053
10 44 58449
10 26 86772
48 13 110142
48 10 185073
26 30 71593
37 46 85664
37 18 107678
2 30 100453
42 16 176744
20 41 107680
28 46 87115
19 42 104500
22 41 136720
44 2 93640
26 31 54496
20 48 106847
43 25 73303
32 21 100100
45 33 122703
40 44 71527
9 37 57655
38 49 91018
28 24 106668
43 2 110185
35 43 134589
9 43 51266
16 9 98185
18 19 87123
40 3 99191
3 7 70543
27 50 127252
